tradingsymbol,instrument_type,name,expiry,lot_size,instrument_token
NIFTY25DEC25950CE,CE,NIFTY,2025-12-30,75,16793602
NIFTY25DEC25950PE,PE,NIFTY,2025-12-30,75,16798722
NIFTY25DEC25900CE,CE,NIFTY,2025-12-30,75,16786178
NIFTY25DEC25900PE,PE,NIFTY,2025-12-30,75,16793346
NIFTY25DEC26000CE,CE,NIFTY,2025-12-30,75,18278146
NIFTY25DEC26000PE,PE,NIFTY,2025-12-30,75,18279170
NIFTY25DEC25850CE,CE,NIFTY,2025-12-30,75,16785666
NIFTY25DEC25850PE,PE,NIFTY,2025-12-30,75,16785922
NIFTY25DEC26050CE,CE,NIFTY,2025-12-30,75,16798978
NIFTY25DEC26050PE,PE,NIFTY,2025-12-30,75,16799234
NIFTY25DEC25800CE,CE,NIFTY,2025-12-30,75,16784130
NIFTY25DEC25800PE,PE,NIFTY,2025-12-30,75,16784386
NIFTY25DEC26100CE,CE,NIFTY,2025-12-30,75,16799490
NIFTY25DEC26100PE,PE,NIFTY,2025-12-30,75,16800770
NIFTY25DEC25750CE,CE,NIFTY,2025-12-30,75,16783618
NIFTY25DEC25750PE,PE,NIFTY,2025-12-30,75,16783874
NIFTY25DEC26150CE,CE,NIFTY,2025-12-30,75,16801026
NIFTY25DEC26150PE,PE,NIFTY,2025-12-30,75,16802306
NIFTY25DEC25700CE,CE,NIFTY,2025-12-30,75,16783106
NIFTY25DEC25700PE,PE,NIFTY,2025-12-30,75,16783362
NIFTY25DEC26200CE,CE,NIFTY,2025-12-30,75,16802562
NIFTY25DEC26200PE,PE,NIFTY,2025-12-30,75,16803586
NIFTY25DEC25650CE,CE,NIFTY,2025-12-30,75,16782594
NIFTY25DEC25650PE,PE,NIFTY,2025-12-30,75,16782850
NIFTY25DEC26250CE,CE,NIFTY,2025-12-30,75,16803842
NIFTY25DEC26250PE,PE,NIFTY,2025-12-30,75,16805634
NIFTY25DEC25600CE,CE,NIFTY,2025-12-30,75,16782082
NIFTY25DEC25600PE,PE,NIFTY,2025-12-30,75,16782338
NIFTY25DEC26300CE,CE,NIFTY,2025-12-30,75,16806658
NIFTY25DEC26300PE,PE,NIFTY,2025-12-30,75,16806914
NIFTY25DEC26350PE,PE,NIFTY,2025-12-30,75,16816642
NIFTY25DEC26700CE,CE,NIFTY,2025-12-30,75,16823042
NIFTY25DEC26700PE,PE,NIFTY,2025-12-30,75,16823298
NIFTY25DEC26650CE,CE,NIFTY,2025-12-30,75,16822530
NIFTY25DEC26650PE,PE,NIFTY,2025-12-30,75,16822786
NIFTY25DEC26600CE,CE,NIFTY,2025-12-30,75,16822018
NIFTY25DEC26600PE,PE,NIFTY,2025-12-30,75,16822274
NIFTY25DEC26550CE,CE,NIFTY,2025-12-30,75,16819714
NIFTY25DEC26550PE,PE,NIFTY,2025-12-30,75,16821762
NIFTY25DEC26500CE,CE,NIFTY,2025-12-30,75,16817922
NIFTY25DEC26500PE,PE,NIFTY,2025-12-30,75,16819458
NIFTY25DEC26450CE,CE,NIFTY,2025-12-30,75,16817410
NIFTY25DEC26450PE,PE,NIFTY,2025-12-30,75,16817666
NIFTY25DEC26400CE,CE,NIFTY,2025-12-30,75,16816898
NIFTY25DEC26400PE,PE,NIFTY,2025-12-30,75,16817154
NIFTY25DEC26350CE,CE,NIFTY,2025-12-30,75,16816386
NIFTY25DEC25550CE,CE,NIFTY,2025-12-30,75,16781570
NIFTY25DEC25550PE,PE,NIFTY,2025-12-30,75,16781826
NIFTY25DEC25500CE,CE,NIFTY,2025-12-30,75,16776962
NIFTY25DEC25500PE,PE,NIFTY,2025-12-30,75,16781314
NIFTY25DEC25450CE,CE,NIFTY,2025-12-30,75,16776450
NIFTY25DEC25450PE,PE,NIFTY,2025-12-30,75,16776706
NIFTY25DEC25400CE,CE,NIFTY,2025-12-30,75,16775938
NIFTY25DEC25400PE,PE,NIFTY,2025-12-30,75,16776194
NIFTY25DEC25350CE,CE,NIFTY,2025-12-30,75,16775426
NIFTY25DEC25350PE,PE,NIFTY,2025-12-30,75,16775682
NIFTY25DEC25300CE,CE,NIFTY,2025-12-30,75,16768258
NIFTY25DEC25300PE,PE,NIFTY,2025-12-30,75,16775170
NIFTY25DEC25250CE,CE,NIFTY,2025-12-30,75,16751362
NIFTY25DEC25250PE,PE,NIFTY,2025-12-30,75,16752130
NIFTY25DEC25200CE,CE,NIFTY,2025-12-30,75,16750850
NIFTY25DEC25200PE,PE,NIFTY,2025-12-30,75,16751106
